# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
1.328098712958558103e+01 6.229359408106520846e+01 1.105574616102509466e+01 4.693218487093121638e+01 -9.847180469807854024e+03 -5.548907025735450588e+03 -1.860044195035854500e+03 1.792676431849059782e+02 1.139227248692871581e+04 -4.037534339144858718e+08 -4.534120504098585513e+01
8.957906395833569846e+00 6.710911128535030912e+01 3.945230775388437650e+01 8.705093557249003311e+01 -1.054363306892520450e+04 -5.780307157625255059e+03 -1.854043664921740401e+03 1.396789433432801673e+02 1.174569020803628337e+04 -1.710213307416498718e+11 -4.534120504098585513e+01
8.743214240431909090e+00 7.253314407004182840e+01 3.029803592804880807e+01 6.189919559941592553e+01 -1.075578663257871085e+04 -5.766487458603051891e+03 -1.771791925031848677e+03 1.809058823813606125e+02 1.196191692588308433e+04 -1.297817148425124054e+11 -4.534120504098585513e+01
1.183254386506631839e+01 6.015026332256302766e+01 3.868404844785833063e+01 9.382977938105656790e+01 -1.046880456685183890e+04 -5.494039992011005779e+03 -1.789782858680053323e+03 1.417557388896151167e+02 1.169647656845710117e+04 -1.867789674789064636e+11 -4.534120504098585513e+01
1.616128973221371945e+00 8.393237243473481612e+01 1.859069128572430074e+01 7.698126416979599185e+01 -1.059239682466552222e+04 -5.477058162733675999e+03 -1.866912632283272842e+03 1.643282469702840558e+02 1.133956938531276137e+04 -7.355166855967145996e+11 -4.534120504098585513e+01
1.183119296485117466e+01 6.019127654138370076e+01 2.870573460772124719e+00 1.649706510851985541e+01 -9.532466146218659560e+03 -5.879861409604614892e+03 -1.931050693861128821e+03 1.858193606907875051e+02 1.192405070969931512e+04 -7.705108066561705322e+11 -4.534120504098585513e+01
1.508745715154576317e+01 8.781014452778630641e+01 9.852925064794282761e+00 9.214453993234165807e+01 -1.029344957698282997e+04 -5.622500353722950422e+03 -1.745580790358207651e+03 1.647926678225830130e+02 1.101862507474807353e+04 -6.708871680976303711e+11 -4.534120504098585513e+01
8.717197066692238039e+00 6.699769111940625521e+01 3.699449352938779612e+01 4.756390658677858596e+01 -9.656887752768021528e+03 -5.451978347759903045e+03 -1.745965288360467866e+03 1.242972520636405989e+02 1.139489310572315480e+04 -7.734185440688516617e+09 -4.534120504098585513e+01
1.731879533241549751e+01 7.001156532383053843e+01 1.808986812501508723e+01 4.589135082735436555e+01 -1.013571742629973960e+04 -5.764279207007828518e+03 -1.850877806882868299e+03 1.570084470351873449e+02 1.163073523312591715e+04 -6.989420067007399559e+09 -4.534120504098585513e+01
1.212210986861637885e+01 6.708275415577504930e+01 1.616419060392812312e+01 5.668134477650822589e+01 -9.464708612456657647e+03 -5.845549523118111210e+03 -1.709508040748481335e+03 1.553771053346054600e+02 1.187256180398023935e+04 -7.330412128465433350e+11 -4.534120504098585513e+01
